Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-03 15:19:33.014507+05:30 IST Asia/Kolkata,UNIUSD,5,buy,5/0,9.482,10.4252,,47.41,0.02517471,0,0,market_order,closed,,,904067192
2025-09-03 13:36:51.948866+05:30 IST Asia/Kolkata,XRPUSD,1,buy,1/0,2.8276,3.111,,2.8276,0.00150146,0,0,market_order,closed,,,903910566
2025-09-03 13:36:39.869897+05:30 IST Asia/Kolkata,XRPUSD,1,buy,1/0,2.8283,3.111,,2.8283,0.00150183,0.0112,0.0112,market_order,closed,,,903910130
2025-09-03 08:46:12.849914+05:30 IST Asia/Kolkata,XRPUSD,1,sell,1/0,2.8395,2.5554,,2.8395,0.00150778,0,0,market_order,closed,,,903587219
2025-09-02 23:07:53.547129+05:30 IST Asia/Kolkata,ETHUSD,12,sell,12/0,4306.3,4092.7,4306.36,516.756,0.27439744,-0.545,-0.545,market_order,closed,,,903018204
2025-09-02 23:08:01.307524+05:30 IST Asia/Kolkata,AVAXUSD,40,sell,40/0,23.95,21.5622,23.9439,958,0.508698,1.42,1.42,market_order,closed,,,903017332
2025-09-02 23:02:15.978700+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,110934.5,116459.5,,110.9345,0.05890622,-0.2425,-0.2425,market_order,closed,,,903013466
2025-09-02 22:59:26.363053+05:30 IST Asia/Kolkata,ETHUSD,10,buy,10/0,4312,4526,,431.2,0.2289672,0,0,market_order,closed,,,903005981
2025-09-02 22:58:43.936891+05:30 IST Asia/Kolkata,AVAXUSD,20,buy,20/0,23.936,26.3057,,478.72,0.25420032,0,0,market_order,closed,,,903004171
2025-09-02 22:57:39.795362+05:30 IST Asia/Kolkata,AVAXUSD,10,buy,10/0,23.9,26.2824,,239,0.126909,0,0,market_order,closed,,,903001608
2025-09-02 22:56:33.124817+05:30 IST Asia/Kolkata,AVAXUSD,10,buy,10/0,23.886,26.2607,,238.86,0.12683466,0,0,market_order,closed,,,902999584
